Date,stations_id,qn_6,rs,rsf,sh_tag,nsh_tag,eor,date_from,date_to,altitude,latitude,longitude,name,state,CUM
7/20/2016,3366,9,0,0,,,eor,1/1/1953,6/29/2020,406,48.279,12.5024,Mühldorf,Bayern,218.1
7/21/2016,3366,9,7.5,4,,,eor,1/1/1953,6/29/2020,406,48.279,12.5024,Mühldorf,Bayern,225.6
7/22/2016,3366,9,0,4,,,eor,1/1/1953,6/29/2020,406,48.279,12.5024,Mühldorf,Bayern,225.6
7/23/2016,3366,9,7.3,4,,,eor,1/1/1953,6/29/2020,406,48.279,12.5024,Mühldorf,Bayern,232.9
7/24/2016,3366,9,0,4,,,eor,1/1/1953,6/29/2020,406,48.279,12.5024,Mühldorf,Bayern,232.9
7/25/2016,3366,9,1.2,4,,,eor,1/1/1953,6/29/2020,406,48.279,12.5024,Mühldorf,Bayern,234.1
7/26/2016,3366,9,20.5,4,,,eor,1/1/1953,6/29/2020,406,48.279,12.5024,Mühldorf,Bayern,254.6
7/27/2016,3366,9,12.1,4,,,eor,1/1/1953,6/29/2020,406,48.279,12.5024,Mühldorf,Bayern,266.7
7/28/2016,3366,9,0.1,4,,,eor,1/1/1953,6/29/2020,406,48.279,12.5024,Mühldorf,Bayern,266.8
7/29/2016,3366,9,0,4,,,eor,1/1/1953,6/29/2020,406,48.279,12.5024,Mühldorf,Bayern,266.8
7/30/2016,3366,9,0,4,,,eor,1/1/1953,6/29/2020,406,48.279,12.5024,Mühldorf,Bayern,266.8
7/31/2016,3366,9,3.7,4,,,eor,1/1/1953,6/29/2020,406,48.279,12.5024,Mühldorf,Bayern,270.5
8/1/2016,3366,9,0,0,,,eor,1/1/1953,6/29/2020,406,48.279,12.5024,Mühldorf,Bayern,270.5
8/2/2016,3366,9,0.1,4,,,eor,1/1/1953,6/29/2020,406,48.279,12.5024,Mühldorf,Bayern,270.6
8/3/2016,3366,9,0,0,,,eor,1/1/1953,6/29/2020,406,48.279,12.5024,Mühldorf,Bayern,270.6
8/4/2016,3366,9,7.7,4,,,eor,1/1/1953,6/29/2020,406,48.279,12.5024,Mühldorf,Bayern,278.3
8/5/2016,3366,9,30.2,4,,,eor,1/1/1953,6/29/2020,406,48.279,12.5024,Mühldorf,Bayern,308.5
8/6/2016,3366,9,0,0,,,eor,1/1/1953,6/29/2020,406,48.279,12.5024,Mühldorf,Bayern,308.5
8/7/2016,3366,9,0,0,,,eor,1/1/1953,6/29/2020,406,48.279,12.5024,Mühldorf,Bayern,308.5
8/8/2016,3366,9,7.8,4,,,eor,1/1/1953,6/29/2020,406,48.279,12.5024,Mühldorf,Bayern,316.3
8/9/2016,3366,9,7,4,,,eor,1/1/1953,6/29/2020,406,48.279,12.5024,Mühldorf,Bayern,323.3
8/10/2016,3366,9,3.4,4,,,eor,1/1/1953,6/29/2020,406,48.279,12.5024,Mühldorf,Bayern,326.7
8/11/2016,3366,9,1,4,,,eor,1/1/1953,6/29/2020,406,48.279,12.5024,Mühldorf,Bayern,327.7
8/12/2016,3366,9,0.7,4,,,eor,1/1/1953,6/29/2020,406,48.279,12.5024,Mühldorf,Bayern,328.4
8/13/2016,3366,9,0,0,,,eor,1/1/1953,6/29/2020,406,48.279,12.5024,Mühldorf,Bayern,328.4
8/14/2016,3366,9,0,0,,,eor,1/1/1953,6/29/2020,406,48.279,12.5024,Mühldorf,Bayern,328.4
8/15/2016,3366,9,0,0,,,eor,1/1/1953,6/29/2020,406,48.279,12.5024,Mühldorf,Bayern,328.4
8/16/2016,3366,9,0,0,,,eor,1/1/1953,6/29/2020,406,48.279,12.5024,Mühldorf,Bayern,328.4
8/17/2016,3366,9,0,0,,,eor,1/1/1953,6/29/2020,406,48.279,12.5024,Mühldorf,Bayern,328.4
8/18/2016,3366,9,24.3,4,,,eor,1/1/1953,6/29/2020,406,48.279,12.5024,Mühldorf,Bayern,352.7
8/19/2016,3366,9,0,4,,,eor,1/1/1953,6/29/2020,406,48.279,12.5024,Mühldorf,Bayern,352.7
8/20/2016,3366,9,10.4,4,,,eor,1/1/1953,6/29/2020,406,48.279,12.5024,Mühldorf,Bayern,363.1
8/21/2016,3366,9,3.3,4,,,eor,1/1/1953,6/29/2020,406,48.279,12.5024,Mühldorf,Bayern,366.4
8/22/2016,3366,9,0,0,,,eor,1/1/1953,6/29/2020,406,48.279,12.5024,Mühldorf,Bayern,366.4
8/23/2016,3366,9,0,0,,,eor,1/1/1953,6/29/2020,406,48.279,12.5024,Mühldorf,Bayern,366.4
8/24/2016,3366,9,0,0,,,eor,1/1/1953,6/29/2020,406,48.279,12.5024,Mühldorf,Bayern,366.4
8/25/2016,3366,9,0,0,,,eor,1/1/1953,6/29/2020,406,48.279,12.5024,Mühldorf,Bayern,366.4
8/26/2016,3366,9,0,0,,,eor,1/1/1953,6/29/2020,406,48.279,12.5024,Mühldorf,Bayern,366.4
8/27/2016,3366,9,0,0,,,eor,1/1/1953,6/29/2020,406,48.279,12.5024,Mühldorf,Bayern,366.4
8/28/2016,3366,9,7.6,4,,,eor,1/1/1953,6/29/2020,406,48.279,12.5024,Mühldorf,Bayern,374
8/29/2016,3366,9,5.9,4,,,eor,1/1/1953,6/29/2020,406,48.279,12.5024,Mühldorf,Bayern,379.9
8/30/2016,3366,9,0,0,,,eor,1/1/1953,6/29/2020,406,48.279,12.5024,Mühldorf,Bayern,379.9
8/31/2016,3366,9,0,0,,,eor,1/1/1953,6/29/2020,406,48.279,12.5024,Mühldorf,Bayern,379.9
9/1/2016,3366,9,0.5,4,,,eor,1/1/1953,6/29/2020,406,48.279,12.5024,Mühldorf,Bayern,380.4
9/2/2016,3366,9,0,0,,,eor,1/1/1953,6/29/2020,406,48.279,12.5024,Mühldorf,Bayern,380.4
9/3/2016,3366,9,0,0,,,eor,1/1/1953,6/29/2020,406,48.279,12.5024,Mühldorf,Bayern,380.4
9/4/2016,3366,9,2.6,4,,,eor,1/1/1953,6/29/2020,406,48.279,12.5024,Mühldorf,Bayern,383
9/5/2016,3366,9,0.1,4,,,eor,1/1/1953,6/29/2020,406,48.279,12.5024,Mühldorf,Bayern,383.1
9/6/2016,3366,9,0,0,,,eor,1/1/1953,6/29/2020,406,48.279,12.5024,Mühldorf,Bayern,383.1
9/7/2016,3366,9,0,0,,,eor,1/1/1953,6/29/2020,406,48.279,12.5024,Mühldorf,Bayern,383.1
9/8/2016,3366,9,0,0,,,eor,1/1/1953,6/29/2020,406,48.279,12.5024,Mühldorf,Bayern,383.1
9/9/2016,3366,9,0,0,,,eor,1/1/1953,6/29/2020,406,48.279,12.5024,Mühldorf,Bayern,383.1
9/10/2016,3366,9,0,0,,,eor,1/1/1953,6/29/2020,406,48.279,12.5024,Mühldorf,Bayern,383.1
9/11/2016,3366,9,0,0,,,eor,1/1/1953,6/29/2020,406,48.279,12.5024,Mühldorf,Bayern,383.1
9/12/2016,3366,9,0,0,,,eor,1/1/1953,6/29/2020,406,48.279,12.5024,Mühldorf,Bayern,383.1
9/13/2016,3366,9,0,0,,,eor,1/1/1953,6/29/2020,406,48.279,12.5024,Mühldorf,Bayern,383.1
9/14/2016,3366,9,0,0,,,eor,1/1/1953,6/29/2020,406,48.279,12.5024,Mühldorf,Bayern,383.1
9/15/2016,3366,9,0,0,,,eor,1/1/1953,6/29/2020,406,48.279,12.5024,Mühldorf,Bayern,383.1
9/16/2016,3366,9,22.9,4,,,eor,1/1/1953,6/29/2020,406,48.279,12.5024,Mühldorf,Bayern,406
9/17/2016,3366,9,29.6,4,,,eor,1/1/1953,6/29/2020,406,48.279,12.5024,Mühldorf,Bayern,435.6
9/18/2016,3366,9,13.1,4,,,eor,1/1/1953,6/29/2020,406,48.279,12.5024,Mühldorf,Bayern,448.7
9/19/2016,3366,9,7.5,4,,,eor,1/1/1953,6/29/2020,406,48.279,12.5024,Mühldorf,Bayern,456.2
9/20/2016,3366,9,0.1,4,,,eor,1/1/1953,6/29/2020,406,48.279,12.5024,Mühldorf,Bayern,456.3
